"notation","title","description","id","title_en","description_en"
"","Anleitung","","v7f",,
"","Auszug aus einer Novelle","","z3d",,
"","Bericht","","u7a",,
"","Biopic","","x4q",,
"","Doku-Drama","","a5f",,
"","Dokumentation","","b3c",,
"","Drama","","s5q",,
"","Erklärvideo","","f7z",,
"","Erzählung","","s5s",,
"","Fabel","","d3r",,
"","Feature","","x3g",,
"","Hörbuch","","z3u",,
"","Hörspiel","","a6c",,
"","(Buch-)Kritik","","a3f",,
"","Kommentar","","z3t",,
"","Kurzgeschichte","","u6s",,
"","Lesung","","q2z",,
"","Nachricht","","f5a",,
"","Podcast","","y3g",,
"","Reportage","","g6y",,
"","(Jugend-)Romanauszug","","h9b",,
"","Schulordnung","","q5d",,
"","Tutorial","","y9b",,
"","Webinar","","r7v",,
"","Wissenssendung","","u7g",,
"","weitere","","t2g",,
